INFO 2025-09-16 21:26:55,331 autoreload 17944 240 Watching for file changes with StatReloader
WARNING 2025-09-16 21:27:06,302 log 17944 8856 Not Found: /
WARNING 2025-09-16 21:27:06,305 basehttp 17944 8856 "GET / HTTP/1.1" 404 3456
WARNING 2025-09-16 21:27:06,752 log 17944 8856 Not Found: /favicon.ico
WARNING 2025-09-16 21:27:06,754 basehttp 17944 8856 "GET /favicon.ico HTTP/1.1" 404 3507
INFO 2025-09-16 21:27:35,334 basehttp 17944 14968 "GET /api HTTP/1.1" 301 0
INFO 2025-09-16 21:27:35,340 basehttp 17944 16248 "GET /api/ HTTP/1.1" 200 177
INFO 2025-09-16 21:27:51,749 basehttp 17944 17968 "GET /api/clubs HTTP/1.1" 301 0
WARNING 2025-09-16 21:27:52,015 log 17944 3500 Unauthorized: /api/clubs/
WARNING 2025-09-16 21:27:52,016 basehttp 17944 3500 "GET /api/clubs/ HTTP/1.1" 401 5064
INFO 2025-09-16 21:27:52,597 basehttp 17944 5728 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-09-16 21:27:52,608 basehttp 17944 3500 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-09-16 21:27:52,612 basehttp 17944 16016 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-09-16 21:27:52,626 basehttp 17944 4984 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-09-16 21:27:52,690 basehttp 17944 5728 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-09-16 21:27:52,691 basehttp 17944 10460 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-09-16 21:27:52,693 basehttp 17944 4984 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-09-16 21:27:52,727 basehttp 17944 4984 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-09-16 21:27:52,732 basehttp 17944 5728 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-09-16 21:27:52,747 basehttp 17944 3500 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-09-16 21:27:52,757 basehttp 17944 16016 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-09-16 21:27:52,823 basehttp 17944 3644 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-09-16 21:29:39,005 basehttp 17944 17700 "GET /api/clubs/1 HTTP/1.1" 301 0
WARNING 2025-09-16 21:29:39,020 log 17944 15068 Unauthorized: /api/clubs/1/
WARNING 2025-09-16 21:29:39,022 basehttp 17944 15068 "GET /api/clubs/1/ HTTP/1.1" 401 5222
WARNING 2025-09-16 21:30:12,961 log 17944 7232 Method Not Allowed: /api/auth/send-otp/
WARNING 2025-09-16 21:30:12,963 basehttp 17944 7232 "GET /api/auth/send-otp/ HTTP/1.1" 405 5587
INFO 2025-09-16 21:30:26,396 basehttp 17944 16976 "OPTIONS /api/auth/send-otp/ HTTP/1.1" 200 5855
